service,modifier,location,language,page_type,focus_keyword,suggested_slug,title_tag,meta_description,parent_page,sibling_link_targets,cross_service_target,monthly_volume,keyword_difficulty,intent,priority_tier,notes
Google Ads,agentur,,de,master,google ads agentur,/google-ads/,google ads agentur | NEO THE AGENCY,"NEO THE AGENCY bietet google ads agentur. Strategie, Setup und laufende Optimierung für messbare Performance.",,/seo/ | /webdesign/,/seo/,,,,Master,Provisional master keyword based on the confirmed Semrush service base and the observed commercial agency pattern. Metrics pending because the crawl was stopped by request. Source brief label: Paid Ads.
SEO,agentur,,de,master,seo agentur,/seo/,seo agentur | NEO THE AGENCY,"NEO THE AGENCY bietet seo agentur. Technische SEO, Content-Struktur und klare Prioritäten für organisches Wachstum.",,/google-ads/ | /webdesign/,/google-ads/,14.8K,60%,Commercial,Master,Semrush-confirmed master keyword. Source brief label: Search Engine Optimisation (SEO).
Webdesign,agentur,,de,master,webdesign agentur,/webdesign/,webdesign agentur | NEO THE AGENCY,"NEO THE AGENCY bietet webdesign agentur. Strategie, Design und Entwicklung moderner Websites mit Conversion-Fokus.",,/seo/ | /google-ads/,/seo/,,,,Master,Provisional master keyword based on the confirmed Semrush service base and the observed commercial agency pattern. Metrics pending because the crawl was stopped by request. Source brief label: Website Development.
Google Ads,agentur,Dortmund,de,geo,google ads agentur Dortmund,/google-ads/dortmund/,google ads agentur Dortmund | NEO THE AGENCY,"NEO THE AGENCY bietet google ads agentur Dortmund für Unternehmen in Dortmund. Strategie, Setup und laufende Optimierung für messbare Performance.",/google-ads/,/google-ads/duesseldorf/ | /google-ads/koeln/,/seo/dortmund/,,,,Tier 1,"Planned geo keyword only. Pattern follows the confirmed SEO local agency keyword shape, but Semrush metrics were not completed before the crawl was stopped. Manual enrichment required."
Google Ads,agentur,Düsseldorf,de,geo,google ads agentur Düsseldorf,/google-ads/duesseldorf/,google ads agentur Düsseldorf | NEO THE AGENCY,"NEO THE AGENCY bietet google ads agentur Düsseldorf für Unternehmen in Düsseldorf. Strategie, Setup und laufende Optimierung für messbare Performance.",/google-ads/,/google-ads/koeln/ | /google-ads/dortmund/,/seo/duesseldorf/,,,,Tier 1,"Planned geo keyword only. Pattern follows the confirmed SEO local agency keyword shape, but Semrush metrics were not completed before the crawl was stopped. Manual enrichment required."
Google Ads,agentur,Köln,de,geo,google ads agentur Köln,/google-ads/koeln/,google ads agentur Köln | NEO THE AGENCY,"NEO THE AGENCY bietet google ads agentur Köln für Unternehmen in Köln. Strategie, Setup und laufende Optimierung für messbare Performance.",/google-ads/,/google-ads/duesseldorf/ | /google-ads/dortmund/,/seo/koeln/,,,,Tier 1,"Planned geo keyword only. Pattern follows the confirmed SEO local agency keyword shape, but Semrush metrics were not completed before the crawl was stopped. Manual enrichment required."
SEO,agentur,Dortmund,de,geo,seo agentur Dortmund,/seo/dortmund/,seo agentur Dortmund | NEO THE AGENCY,"NEO THE AGENCY bietet seo agentur Dortmund für Unternehmen in Dortmund. Technische SEO, Content-Struktur und klare Prioritäten für organisches Wachstum.",/seo/,/seo/duesseldorf/ | /seo/koeln/,/google-ads/dortmund/,,,,Tier 1,"Planned geo keyword only. Pattern follows the confirmed SEO local agency keyword shape, but Semrush metrics were not completed before the crawl was stopped. Manual enrichment required."
SEO,agentur,Düsseldorf,de,geo,seo agentur Düsseldorf,/seo/duesseldorf/,seo agentur Düsseldorf | NEO THE AGENCY,"NEO THE AGENCY bietet seo agentur Düsseldorf für Unternehmen in Düsseldorf. Technische SEO, Content-Struktur und klare Prioritäten für organisches Wachstum.",/seo/,/seo/koeln/ | /seo/dortmund/,/google-ads/duesseldorf/,1.9K,26%,Commercial,Tier 1,Semrush-confirmed geo keyword. Tier 1 page still needs manual enrichment with city-specific proof and local delivery detail.
SEO,agentur,Köln,de,geo,seo agentur Köln,/seo/koeln/,seo agentur Köln | NEO THE AGENCY,"NEO THE AGENCY bietet seo agentur Köln für Unternehmen in Köln. Technische SEO, Content-Struktur und klare Prioritäten für organisches Wachstum.",/seo/,/seo/duesseldorf/ | /seo/dortmund/,/google-ads/koeln/,,,,Tier 1,"Planned geo keyword only. Pattern follows the confirmed SEO local agency keyword shape, but Semrush metrics were not completed before the crawl was stopped. Manual enrichment required."
Webdesign,agentur,Dortmund,de,geo,webdesign agentur Dortmund,/webdesign/dortmund/,webdesign agentur Dortmund | NEO THE AGENCY,"NEO THE AGENCY bietet webdesign agentur Dortmund für Unternehmen in Dortmund. Strategie, Design und Entwicklung moderner Websites mit Conversion-Fokus.",/webdesign/,/webdesign/duesseldorf/ | /webdesign/koeln/,/seo/dortmund/,,,,Tier 1,"Planned geo keyword only. Pattern follows the confirmed SEO local agency keyword shape, but Semrush metrics were not completed before the crawl was stopped. Manual enrichment required."
Webdesign,agentur,Düsseldorf,de,geo,webdesign agentur Düsseldorf,/webdesign/duesseldorf/,webdesign agentur Düsseldorf | NEO THE AGENCY,"NEO THE AGENCY bietet webdesign agentur Düsseldorf für Unternehmen in Düsseldorf. Strategie, Design und Entwicklung moderner Websites mit Conversion-Fokus.",/webdesign/,/webdesign/koeln/ | /webdesign/dortmund/,/seo/duesseldorf/,,,,Tier 1,"Planned geo keyword only. Pattern follows the confirmed SEO local agency keyword shape, but Semrush metrics were not completed before the crawl was stopped. Manual enrichment required."
Webdesign,agentur,Köln,de,geo,webdesign agentur Köln,/webdesign/koeln/,webdesign agentur Köln | NEO THE AGENCY,"NEO THE AGENCY bietet webdesign agentur Köln für Unternehmen in Köln. Strategie, Design und Entwicklung moderner Websites mit Conversion-Fokus.",/webdesign/,/webdesign/duesseldorf/ | /webdesign/dortmund/,/seo/koeln/,,,,Tier 1,"Planned geo keyword only. Pattern follows the confirmed SEO local agency keyword shape, but Semrush metrics were not completed before the crawl was stopped. Manual enrichment required."
Google Ads,agentur,Bochum,de,geo,google ads agentur Bochum,/google-ads/bochum/,google ads agentur Bochum | NEO THE AGENCY,"NEO THE AGENCY bietet google ads agentur Bochum für Unternehmen in Bochum. Strategie, Setup und laufende Optimierung für messbare Performance.",/google-ads/,/google-ads/essen/ | /google-ads/duisburg/ | /google-ads/wuppertal/,/seo/bochum/,,,,Tier 2,"Planned geo keyword only. Pattern follows the confirmed SEO local agency keyword shape, but Semrush metrics were not completed before the crawl was stopped."
Google Ads,agentur,Duisburg,de,geo,google ads agentur Duisburg,/google-ads/duisburg/,google ads agentur Duisburg | NEO THE AGENCY,"NEO THE AGENCY bietet google ads agentur Duisburg für Unternehmen in Duisburg. Strategie, Setup und laufende Optimierung für messbare Performance.",/google-ads/,/google-ads/essen/ | /google-ads/bochum/ | /google-ads/wuppertal/,/seo/duisburg/,,,,Tier 2,"Planned geo keyword only. Pattern follows the confirmed SEO local agency keyword shape, but Semrush metrics were not completed before the crawl was stopped."
