service,modifier,location,language,page_type,focus_keyword,suggested_slug,title_tag,meta_description,parent_page,sibling_link_targets,cross_service_target,monthly_volume,keyword_difficulty,intent,priority_tier,notes,evidence_sources,evidence_count,backbone_status,publish_recommendation
Google Ads,agentur,,de,master,google ads agentur,/google-ads/,Google Ads Agentur | NEO THE AGENCY,"NEO THE AGENCY bietet google ads agentur. Strategie, Setup und Optimierung fuer messbare Nachfrage, qualifizierte Leads und klare Conversion-Logik.",,/seo/ | /webdesign/,/seo/,,,Commercial,Master,Expanded from public suggestion sources using the Semrush backbone. Confidence: high. Evidence count: 3. Publish recommendation: validate-first.,Google Suggest | Bing Autosuggest | Backbone Seed,3,public-expansion,validate-first
SEO,agentur,,de,master,seo agentur,/seo/,Seo Agentur | NEO THE AGENCY,"NEO THE AGENCY bietet seo agentur. Technische SEO, saubere Informationsarchitektur und klare Conversion-Pfade fuer organisches Wachstum.",,/google-ads/ | /webdesign/,/google-ads/,14.8K,60%,Commercial,Master,Semrush-confirmed keyword from the saved backbone research. Confidence: high. Evidence count: 3. Publish recommendation: validate-first.,Google Suggest | Bing Autosuggest | Backbone Seed,3,semrush-confirmed,validate-first
Webdesign,agentur,,de,master,webdesign agentur,/webdesign/,Webdesign Agentur | NEO THE AGENCY,"NEO THE AGENCY bietet webdesign agentur. Strategie, Design und Entwicklung moderner Websites mit klarem Angebotsfokus und Conversion-Fuehrung.",,/seo/ | /google-ads/,/seo/,,,Commercial,Master,Expanded from public suggestion sources using the Semrush backbone. Confidence: high. Evidence count: 3. Publish recommendation: validate-first.,Google Suggest | Bing Autosuggest | Backbone Seed,3,public-expansion,validate-first
Google Ads,agentur,Dortmund,de,geo,google ads agentur dortmund,/google-ads/dortmund/,Google Ads Agentur Dortmund | NEO THE AGENCY,"NEO THE AGENCY bietet google ads agentur dortmund fuer Unternehmen in Dortmund. Strategie, Setup und Optimierung fuer messbare Nachfrage, qualifizierte Leads und klare Conversion-Logik.",/google-ads/,/google-ads/duesseldorf/ | /google-ads/koeln/,/seo/dortmund/,,,Commercial,Tier 1,Expanded from public suggestion sources using the Semrush backbone. Confidence: high. Evidence count: 4. Publish recommendation: validate-first.,Google Suggest | Bing Autosuggest | Backbone Seed | Backbone Pattern,4,public-expansion,validate-first
Google Ads,agentur,Dusseldorf,de,geo,google ads agentur dusseldorf,/google-ads/duesseldorf/,Google Ads Agentur Dusseldorf | NEO THE AGENCY,"NEO THE AGENCY bietet google ads agentur dusseldorf fuer Unternehmen in Dusseldorf. Strategie, Setup und Optimierung fuer messbare Nachfrage, qualifizierte Leads und klare Conversion-Logik.",/google-ads/,/google-ads/koeln/ | /google-ads/dortmund/,/seo/duesseldorf/,,,Commercial,Tier 1,Expanded from public suggestion sources using the Semrush backbone. Confidence: high. Evidence count: 3. Publish recommendation: validate-first.,Bing Autosuggest | Backbone Seed | Backbone Pattern,3,public-expansion,validate-first
Google Ads,agentur,Koeln,de,geo,google ads agentur koln,/google-ads/koeln/,Google Ads Agentur Koln | NEO THE AGENCY,"NEO THE AGENCY bietet google ads agentur koln fuer Unternehmen in Koeln. Strategie, Setup und Optimierung fuer messbare Nachfrage, qualifizierte Leads und klare Conversion-Logik.",/google-ads/,/google-ads/duesseldorf/ | /google-ads/dortmund/,/seo/koeln/,,,Commercial,Tier 1,Expanded from public suggestion sources using the Semrush backbone. Confidence: low. Evidence count: 1. Publish recommendation: research-only.,Bing Autosuggest,1,public-expansion,research-only
Google Ads,b2b,Dortmund,de,geo-industry,google ads b2b dortmund,/google-ads/dortmund/b2b/,Google Ads B2b Dortmund | NEO THE AGENCY,"NEO THE AGENCY bietet google ads b2b dortmund fuer Unternehmen in Dortmund. Strategie, Setup und Optimierung fuer messbare Nachfrage, qualifizierte Leads und klare Conversion-Logik.",/google-ads/dortmund/,/google-ads/duesseldorf/ | /google-ads/koeln/,/seo/dortmund/,,,Commercial,Tier 1,Expanded from public suggestion sources using the Semrush backbone. Added via controlled backbone patterning to complete the 400-row opportunity set. Industry angle: b2b. Confidence: medium. Evidence count: 1. Publish recommendation: backlog-cluster.,Backbone Pattern,1,backbone-patterned,backlog-cluster
Google Ads,b2b,Dusseldorf,de,geo-industry,google ads b2b dusseldorf,/google-ads/duesseldorf/b2b/,Google Ads B2b Dusseldorf | NEO THE AGENCY,"NEO THE AGENCY bietet google ads b2b dusseldorf fuer Unternehmen in Dusseldorf. Strategie, Setup und Optimierung fuer messbare Nachfrage, qualifizierte Leads und klare Conversion-Logik.",/google-ads/duesseldorf/,/google-ads/koeln/ | /google-ads/dortmund/,/seo/duesseldorf/,,,Commercial,Tier 1,Expanded from public suggestion sources using the Semrush backbone. Added via controlled backbone patterning to complete the 400-row opportunity set. Industry angle: b2b. Confidence: medium. Evidence count: 1. Publish recommendation: backlog-cluster.,Backbone Pattern,1,backbone-patterned,backlog-cluster
Google Ads,betreuung,Dortmund,de,geo-modifier,google ads betreuung dortmund,/google-ads/dortmund/betreuung/,Google Ads Betreuung Dortmund | NEO THE AGENCY,"NEO THE AGENCY bietet google ads betreuung dortmund fuer Unternehmen in Dortmund. Strategie, Setup und Optimierung fuer messbare Nachfrage, qualifizierte Leads und klare Conversion-Logik.",/google-ads/dortmund/,/google-ads/duesseldorf/ | /google-ads/koeln/,/seo/dortmund/,,,Commercial,Tier 1,Expanded from public suggestion sources using the Semrush backbone. Added via controlled backbone patterning to complete the 400-row opportunity set. Confidence: medium. Evidence count: 1. Publish recommendation: backlog-cluster.,Backbone Pattern,1,backbone-patterned,backlog-cluster
Google Ads,betreuung,Dusseldorf,de,geo-modifier,google ads betreuung dusseldorf,/google-ads/duesseldorf/betreuung/,Google Ads Betreuung Dusseldorf | NEO THE AGENCY,"NEO THE AGENCY bietet google ads betreuung dusseldorf fuer Unternehmen in Dusseldorf. Strategie, Setup und Optimierung fuer messbare Nachfrage, qualifizierte Leads und klare Conversion-Logik.",/google-ads/duesseldorf/,/google-ads/koeln/ | /google-ads/dortmund/,/seo/duesseldorf/,,,Commercial,Tier 1,Expanded from public suggestion sources using the Semrush backbone. Added via controlled backbone patterning to complete the 400-row opportunity set. Confidence: medium. Evidence count: 1. Publish recommendation: backlog-cluster.,Backbone Pattern,1,backbone-patterned,backlog-cluster
